"SECURITIES","ERROR CODE","NUM FLDS","OPT_EXPIRE_DT","OPT_STRIKE_PX","PX_BID","PX_MID","PX_ASK","OPT_PUT_CALL","DAYS_TO_MTY","TODAY_DT","OPT_DAYS_EXPIRE"
"SPX US 07/15/16 C500 Index",0,9,"07/15/2016",500.000000  ,1594.900000  ,1596.000000  ,1597.100000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C600 Index",0,9,"07/15/2016",600.000000  ,1494.900000  ,1496.000000  ,1497.100000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C700 Index",0,9,"07/15/2016",700.000000  ,1394.900000  ,1396.000000  ,1397.100000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C750 Index",0,9,"07/15/2016",750.000000  ,1344.900000  ,1346.050000  ,1347.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C800 Index",0,9,"07/15/2016",800.000000  ,1294.900000  ,1296.050000  ,1297.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C850 Index",0,9,"07/15/2016",850.000000  ,1245.000000  ,1246.100000  ,1247.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C900 Index",0,9,"07/15/2016",900.000000  ,1195.000000  ,1196.100000  ,1197.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C950 Index",0,9,"07/15/2016",950.000000  ,1145.000000  ,1146.100000  ,1147.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1000 Index",0,9,"07/15/2016",1000.000000  ,1095.000000  ,1096.100000  ,1097.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1025 Index",0,9,"07/15/2016",1025.000000  ,1070.000000  ,1071.100000  ,1072.200000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1050 Index",0,9,"07/15/2016",1050.000000  ,1045.000000  ,1046.150000  ,1047.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1075 Index",0,9,"07/15/2016",1075.000000  ,1020.000000  ,1021.150000  ,1022.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1100 Index",0,9,"07/15/2016",1100.000000  ,995.000000  ,996.150000  ,997.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1125 Index",0,9,"07/15/2016",1125.000000  ,970.100000  ,971.200000  ,972.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1150 Index",0,9,"07/15/2016",1150.000000  ,945.100000  ,946.200000  ,947.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1175 Index",0,9,"07/15/2016",1175.000000  ,920.100000  ,921.200000  ,922.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1200 Index",0,9,"07/15/2016",1200.000000  ,895.100000  ,896.200000  ,897.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1225 Index",0,9,"07/15/2016",1225.000000  ,870.100000  ,871.200000  ,872.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1250 Index",0,9,"07/15/2016",1250.000000  ,845.100000  ,846.200000  ,847.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1275 Index",0,9,"07/15/2016",1275.000000  ,820.100000  ,821.200000  ,822.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1300 Index",0,9,"07/15/2016",1300.000000  ,795.100000  ,796.200000  ,797.300000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1310 Index",0,9,"07/15/2016",1310.000000  ,785.100000  ,786.250000  ,787.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1320 Index",0,9,"07/15/2016",1320.000000  ,775.100000  ,776.250000  ,777.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1325 Index",0,9,"07/15/2016",1325.000000  ,770.100000  ,771.250000  ,772.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1330 Index",0,9,"07/15/2016",1330.000000  ,765.100000  ,766.250000  ,767.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1340 Index",0,9,"07/15/2016",1340.000000  ,755.100000  ,756.250000  ,757.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1350 Index",0,9,"07/15/2016",1350.000000  ,745.100000  ,746.250000  ,747.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1360 Index",0,9,"07/15/2016",1360.000000  ,735.200000  ,736.300000  ,737.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1370 Index",0,9,"07/15/2016",1370.000000  ,725.200000  ,726.300000  ,727.400000  ,"Call",14  ,"06/30/2016",15  ,
"SPX US 07/15/16 C1375 Index",0,9,"07/15/2016",1375.000000  ,720.200000  ,721.300000  ,722.400000  ,"Call",14  ,"06/30/2016",15  ,
