"SECURITIES","ERROR CODE","NUM FLDS","TICKER","OPT_STRIKE_PX","PX_LAST","PX_SETTLE","OPT_DELTA_LAST","OPT_GAMMA_LAST","SETTLE_DT","OPT_DAYS_EXPIRE","DAYS_TO_MTY","TODAY_DT","1ST_MTH_IMPVOL_90.0%MNY_DF","1ST_MTH_IMPVOL_95.0%MNY_DF","1ST_MTH_IMPVOL_97.5%MNY_DF","1ST_MTH_IMPVOL_100.0%MNY_DF","1ST_MTH_IMPVOL_102.5%MNY_DF","1ST_MTH_IMPVOL_110.0%MNY_DF","3MTH_IMPVOL_90.0%MNY_DF","3MTH_IMPVOL_95.0%MNY_DF","3MTH_IMPVOL_97.5%MNY_DF","3MTH_IMPVOL_100.0%MNY_DF","3MTH_IMPVOL_102.5%MNY_DF","3MTH_IMPVOL_110.0%MNY_DF","6MTH_IMPVOL_90.0%MNY_DF","6MTH_IMPVOL_95.0%MNY_DF","6MTH_IMPVOL_97.5%MNY_DF","6MTH_IMPVOL_100.0%MNY_DF","6MTH_IMPVOL_102.5%MNY_DF","6MTH_IMPVOL_110.0%MNY_DF"
"USQ6P    130 Comdty",0,28,"USQ6P",130.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    131 Comdty",0,28,"USQ6P",131.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    132 Comdty",0,28,"USQ6P",132.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    133 Comdty",0,28,"USQ6P",133.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    134 Comdty",0,28,"USQ6P",134.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    135 Comdty",0,28,"USQ6P",135.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    136 Comdty",0,28,"USQ6P",136.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    137 Comdty",0,28,"USQ6P",137.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    138 Comdty",0,28,"USQ6P",138.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    139 Comdty",0,28,"USQ6P",139.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    140 Comdty",0,28,"USQ6P",140.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    140.5 Comdty",0,28,"USQ6P",140.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    141 Comdty",0,28,"USQ6P",141.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    141.5 Comdty",0,28,"USQ6P",141.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    142 Comdty",0,28,"USQ6P",142.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    142.5 Comdty",0,28,"USQ6P",142.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    143 Comdty",0,28,"USQ6P",143.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    143.5 Comdty",0,28,"USQ6P",143.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    144 Comdty",0,28,"USQ6P",144.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    144.5 Comdty",0,28,"USQ6P",144.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    145 Comdty",0,28,"USQ6P",145.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    145.5 Comdty",0,28,"USQ6P",145.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    146 Comdty",0,28,"USQ6P",146.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    146.5 Comdty",0,28,"USQ6P",146.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    147 Comdty",0,28,"USQ6P",147.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    147.5 Comdty",0,28,"USQ6P",147.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    148 Comdty",0,28,"USQ6P",148.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    148.5 Comdty",0,28,"USQ6P",148.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    149 Comdty",0,28,"USQ6P",149.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    149.5 Comdty",0,28,"USQ6P",149.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    150 Comdty",0,28,"USQ6P",150.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    150.5 Comdty",0,28,"USQ6P",150.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    151 Comdty",0,28,"USQ6P",151.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    151.5 Comdty",0,28,"USQ6P",151.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    152 Comdty",0,28,"USQ6P",152.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    152.5 Comdty",0,28,"USQ6P",152.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    153 Comdty",0,28,"USQ6P",153.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    153.5 Comdty",0,28,"USQ6P",153.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    154 Comdty",0,28,"USQ6P",154.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    154.5 Comdty",0,28,"USQ6P",154.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    155 Comdty",0,28,"USQ6P",155.000000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
"USQ6P    155.5 Comdty",0,28,"USQ6P",155.500000  , , ,"N.A.","N.A.","06/30/2016",22  , ,"06/30/2016","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.","N.D.",
