"SECURITIES","ERROR CODE","NUM FLDS","TODAY_DT","FUT_CUR_GEN_TICKER","PX_SETTLE","PX_LAST","PX_SETTLE_LAST_DT","FUT_THEOR_PX","FUT_FAIR_VAL","FUT_CTD_CUSIP","FUT_CNVS_FACTOR","FUT_EQV_RISK_FRSK"
"TUA Comdty",0,10,"06/30/2016", ,109.664063  ,109.664063  ,"06/30/2016", , ,"912828VK3",.9242  ,2.1664  ,
"FVA Comdty",0,10,"06/30/2016", ,122.164063  ,122.164063  ,"06/30/2016", , ,"912828M98",.8408  ,5.2204  ,
"TYA Comdty",0,10,"06/30/2016", ,132.984375  ,132.984375  ,"06/30/2016", , ,"912828R69",.7674  ,8.7138  ,
"USA Comdty",0,10,"06/30/2016", ,172.343750  ,172.343750  ,"06/30/2016", , ,"912810FT0",.83  ,24.8571  ,
"WNA Comdty",0,10,"06/30/2016", ,186.375000  ,186.375000  ,"06/30/2016", , ,"912810QT8",.6301  ,34.2371  ,
"TUB Comdty",0,10,"06/30/2016", ,109.617188  ,109.617188  ,"06/30/2016", , ,"912828RH5",.9242  ,2.4384  ,
"FVB Comdty",0,10,"06/30/2016", ,122.117188  ,122.117188  ,"06/30/2016", , ,"912828P87",.8226  ,5.5585  ,
"TYB Comdty",0,10,"06/30/2016", ,132.046875  ,132.046875  ,"06/30/2016", , ,"912828VS6",.8139  ,8.7361  ,
"USB Comdty",0,10,"06/30/2016", ,170.875000  ,170.875000  ,"06/30/2016", , ,"912810FT0",.8313  ,24.8183  ,
"WNB Comdty",0,10,"06/30/2016", ,185.406250  ,185.406250  ,"06/30/2016", , ,"912810QU5",.6301  ,34.4996  ,
"BP1 Curncy",0,10,"06/30/2016","BPU6",132.480000  ,132.480000  ,"06/30/2016", , , , , ,
"BP2 Curncy",0,10,"06/30/2016","BPZ6",132.610000  ,132.610000  ,"06/30/2016", , , , , ,
"CTP1 Comdty",0,10,"06/30/2016","CTPU6",101.445313  ,101.445313  ,"06/30/2016", , , , ,2.0356  ,
"CTP2 Comdty",0,10,"06/30/2016","CTPZ6",101.445313  ,101.445313  ,"06/30/2016", , , , ,2.0309  ,
"CFP1 Comdty",0,10,"06/30/2016","CFPU6",104.734375  ,104.734375  ,"06/30/2016", , , , ,5.1683  ,
"CFP2 Comdty",0,10,"06/30/2016","CFPZ6",104.734375  ,104.734375  ,"06/30/2016", , , , ,5.0928  ,
"CNP1 Comdty",0,10,"06/30/2016","CNPU6",107.843750  ,107.843750  ,"06/30/2016", , , , ,10.2998  ,
"CNP2 Comdty",0,10,"06/30/2016","CNPZ6",107.843750  ,107.843750  ,"06/30/2016", , , , ,10.0216  ,
"CBP1 Comdty",0,10,"06/30/2016","CBPU6",121.312500  ,121.312500  ,"06/30/2016", , , , ,29.4828  ,
"CBP2 Comdty",0,10,"06/30/2016","CBPZ6",121.312500  ,121.312500  ,"06/30/2016", , , , ,27.6232  ,
"EC1 Curncy",0,10,"06/30/2016","ECU6",1.110750  ,1.110750  ,"06/30/2016", , , , , ,
"EC2 Curncy",0,10,"06/30/2016","ECZ6",1.114450  ,1.114450  ,"06/30/2016", , , , , ,
"ED1 Comdty",0,10,"06/30/2016","EDU6",99.355000  ,99.355000  ,"06/30/2016", , , , ,.2500  ,
"ED2 Comdty",0,10,"06/30/2016","EDZ6",99.325000  ,99.325000  ,"06/30/2016", , , , ,.2500  ,
"FA1 Index",0,10,"06/30/2016","FAU6",1493.000000  ,1491.100000  ,"06/30/2016",1493.24  ,-3.26  , , , ,
"FA2 Index",0,10,"06/30/2016","FAZ6",1487.600000  ,1487.600000  ,"06/30/2016",1490.98  ,-5.52  , , , ,
"FV1 Comdty",0,10,"06/30/2016","FVU6",122.164063  ,122.164063  ,"06/30/2016", , , , ,5.2204  ,
"FV2 Comdty",0,10,"06/30/2016","FVZ6",122.117188  ,122.117188  ,"06/30/2016", , , , ,5.5585  ,
"G 1 Comdty",0,10,"06/30/2016","G U6",128.490000  ,128.490000  ,"06/30/2016", , , , ,10.9315  ,
"G 2 Comdty",0,10,"06/30/2016","G Z6",127.470000  ,127.470000  ,"06/30/2016", , , , ,10.8870  ,
"JB1 Comdty",0,10,"06/30/2016","JBU6",152.920000  ,152.920000  ,"06/30/2016", , , , ,10.7939  ,
"JB2 Comdty",0,10,"06/30/2016","JBZ6",153.340000  ,153.340000  ,"06/30/2016", , , , ,11.2758  ,
"JY1 Curncy",0,10,"06/30/2016","JYU6",97.070000  ,97.070000  ,"06/30/2016", , , , , ,
"JY2 Curncy",0,10,"06/30/2016","JYZ6",97.415000  ,97.415000  ,"06/30/2016", , , , , ,
"MFS1 Index",0,10,"06/30/2016","MFSU6",1615.200000  ,1615.200000  ,"06/30/2016",1603.46  ,-4.99  , , , ,
"MFS2 Index",0,10,"06/30/2016","MFSZ6",1611.500000  ,1611.500000  ,"06/30/2016",1598.43  ,-10.02  , , , ,
"RTA1 Index",0,10,"06/30/2016","RTAU6",1147.400000  ,1147.400000  ,"06/30/2016",1150.03  ,-1.89  , , , ,
"RTA2 Index",0,10,"06/30/2016","RTAZ6",1142.400000  ,1142.400000  ,"06/30/2016",1148.76  ,-3.16  , , , ,
"RX1 Comdty",0,10,"06/30/2016","RXU6",167.120000  ,167.120000  ,"06/30/2016", , , , ,14.7344  ,
"RX2 Comdty",0,10,"06/30/2016","RXZ6",164.420000  ,164.420000  ,"06/30/2016", , , , ,14.5757  ,
"SP1 Index",0,10,"06/30/2016","SPU6",2090.200000  ,2090.200000  ,"06/30/2016",2091.17  ,-7.69  , , , ,
"SP2 Index",0,10,"06/30/2016","SPZ6",2081.700000  ,2081.700000  ,"06/30/2016",2085.66  ,-13.20  , , , ,
"TP1 Index",0,10,"06/30/2016","TPU6",1245.500000  ,1245.500000  ,"06/30/2016",1245.24  ,-.58  , , , ,
"TP2 Index",0,10,"06/30/2016","TPZ6",1235.000000  ,1235.000000  ,"06/30/2016",1233.68  ,-12.14  , , , ,
"TU1 Comdty",0,10,"06/30/2016","TUU6",109.664063  ,109.664063  ,"06/30/2016", , , , ,2.1664  ,
"TU2 Comdty",0,10,"06/30/2016","TUZ6",109.617188  ,109.617188  ,"06/30/2016", , , , ,2.4384  ,
"TY1 Comdty",0,10,"06/30/2016","TYU6",132.984375  ,132.984375  ,"06/30/2016", , , , ,8.7138  ,
"TY2 Comdty",0,10,"06/30/2016","TYZ6",132.046875  ,132.046875  ,"06/30/2016", , , , ,8.7361  ,
"US1 Comdty",0,10,"06/30/2016","USU6",172.343750  ,172.343750  ,"06/30/2016", , , , ,24.8571  ,
"US2 Comdty",0,10,"06/30/2016","USZ6",170.875000  ,170.875000  ,"06/30/2016", , , , ,24.8183  ,
"VG1 Index",0,10,"06/30/2016","VGU6",2855.000000  ,2855.000000  ,"06/30/2016",2856.67  ,-8.07  , , , ,
"VG2 Index",0,10,"06/30/2016","VGZ6",2840.000000  ,2840.000000  ,"06/30/2016",2841.83  ,-22.91  , , , ,
"WN1 Comdty",0,10,"06/30/2016","WNU6",186.375000  ,186.375000  ,"06/30/2016", , , , ,34.2371  ,
"WN2 Comdty",0,10,"06/30/2016","WNZ6",185.406250  ,185.406250  ,"06/30/2016", , , , ,34.4996  ,
"Z 1 Index",0,10,"06/30/2016","Z U6",6422.500000  ,6422.500000  ,"06/30/2016",6447.86  ,-56.47  , , , ,
"Z 2 Index",0,10,"06/30/2016","Z Z6",6383.000000  ,6383.000000  ,"06/30/2016",6411.52  ,-92.81  , , , ,
"ED3 Comdty",0,10,"06/30/2016","EDH7",99.305000  ,99.305000  ,"06/30/2016", , , , ,.2500  ,
"ED4 Comdty",0,10,"06/30/2016","EDM7",99.270000  ,99.270000  ,"06/30/2016", , , , ,.2500  ,
"ED5 Comdty",0,10,"06/30/2016","EDU7",99.230000  ,99.230000  ,"06/30/2016", , , , ,.2500  ,
"ED6 Comdty",0,10,"06/30/2016","EDZ7",99.175000  ,99.175000  ,"06/30/2016", , , , ,.2500  ,
"ED7 Comdty",0,10,"06/30/2016","EDH8",99.135000  ,99.135000  ,"06/30/2016", , , , ,.2500  ,
"ED8 Comdty",0,10,"06/30/2016","EDM8",99.090000  ,99.090000  ,"06/30/2016", , , , ,.2500  ,
"ED9 Comdty",0,10,"06/30/2016","EDU8",99.040000  ,99.040000  ,"06/30/2016", , , , ,.2500  ,
"ED10 Comdty",0,10,"06/30/2016","EDZ8",98.980000  ,98.980000  ,"06/30/2016", , , , ,.2500  ,
"ED11 Comdty",0,10,"06/30/2016","EDH9",98.935000  ,98.935000  ,"06/30/2016", , , , ,.2500  ,
"ED12 Comdty",0,10,"06/30/2016","EDM9",98.885000  ,98.885000  ,"06/30/2016", , , , ,.2500  ,
"ED13 Comdty",0,10,"06/30/2016","EDU9",98.830000  ,98.830000  ,"06/30/2016", , , , ,.2500  ,
"ED14 Comdty",0,10,"06/30/2016","EDZ9",98.765000  ,98.765000  ,"06/30/2016", , , , ,.2500  ,
"ED15 Comdty",0,10,"06/30/2016","EDH0",98.710000  ,98.710000  ,"06/30/2016", , , , ,.2500  ,
"ED16 Comdty",0,10,"06/30/2016","EDM0",98.645000  ,98.645000  ,"06/30/2016", , , , ,.2500  ,
"ED17 Comdty",0,10,"06/30/2016","EDU0",98.585000  ,98.585000  ,"06/30/2016", , , , ,.2500  ,
"ED18 Comdty",0,10,"06/30/2016","EDZ0",98.520000  ,98.520000  ,"06/30/2016", , , , ,.2500  ,
"ED19 Comdty",0,10,"06/30/2016","EDH1",98.465000  ,98.465000  ,"06/30/2016", , , , ,.2500  ,
"ED20 Comdty",0,10,"06/30/2016","EDM1",98.405000  ,98.405000  ,"06/30/2016", , , , ,.2500  ,
"ED21 Comdty",0,10,"06/30/2016","EDU1",98.350000  ,98.350000  ,"06/30/2016", , , , ,.2500  ,
"ED22 Comdty",0,10,"06/30/2016","EDZ1",98.290000  ,98.290000  ,"06/30/2016", , , , ,.2500  ,
"ED23 Comdty",0,10,"06/30/2016","EDH2",98.245000  ,98.245000  ,"06/30/2016", , , , ,.2500  ,
"ED24 Comdty",0,10,"06/30/2016","EDM2",98.200000  ,98.200000  ,"06/30/2016", , , , ,.2500  ,
"ED25 Comdty",0,10,"06/30/2016","EDU2",98.160000  ,98.160000  ,"06/30/2016", , , , ,.2500  ,
"ED26 Comdty",0,10,"06/30/2016","EDZ2",98.115000  ,98.115000  ,"06/30/2016", , , , ,.2500  ,
