"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","TODAY_DT","EQY_DVD_YLD_12M"
"SPX Index",0,3,2098.860000  ,"06/30/2016",2.177  ,
"SX5E Index",0,3,2864.740000  ,"06/30/2016",4.206  ,
"UKX Index",0,3,6504.330000  ,"06/30/2016",4.280  ,
"MID Index",0,3,1496.500000  ,"06/30/2016",1.801  ,
"RTY Index",0,3,1151.923000  ,"06/30/2016",1.662  ,
"MXEA Index",0,3,1608.450000  ,"06/30/2016",3.572  ,
"TPX Index",0,3,1245.820000  ,"06/30/2016",2.315  ,
"VIX Index",0,3,15.630000  ,"06/30/2016","N.A.",
"LUCRYW Index",0,3,2.780000  ,"06/30/2016", ,
"MLSB Index",0,3,1344.390000  ,"06/30/2016","N.A.",
"MLT1US10 Index",0,3,2192.786000  ,"06/30/2016","N.A.",
"LUCRTRUU Index",0,3,2745.530000  ,"06/30/2016","N.A.",
"NKY Index",0,3,15575.920000  ,"06/30/2016",2.045  ,
"SPTR Index",0,3,3968.206000  ,"06/30/2016",2.177  ,
"RU20INTR Index",0,3,5453.911000  ,"06/30/2016", ,
"SPTRMDCP Index",0,3,2162.711000  ,"06/30/2016",1.801  ,
"NDDUEAFE Index",0,3,4615.650000  ,"06/30/2016","N.A.",
"SX5T Index",0,3,5590.190000  ,"06/30/2016",4.206  ,
"TUKXG Index",0,3,5214.610000  ,"06/30/2016",4.280  ,
"TPXDDVD Index",0,3,1757.690000  ,"06/30/2016","N.A.",
"LBUSTRUU Index",0,3,2027.980000  ,"06/30/2016","N.A.",
"MXKO Index",0,3,1668.900000  ,"06/30/2016",2.723  ,
"H15T5Y Index",0,3,1.010000  ,"06/30/2016", ,
"H15T1Y Index",0,3,.450000  ,"06/30/2016", ,
"MLEISTRB Index",0,3,1344.390000  ,"06/30/2016", ,
"USDJPYV1Y Index",0,3,11.280000  ,"06/30/2016", ,
"USDJPYV2Y Index",0,3,11.212500  ,"06/30/2016", ,
"USDJPYV3Y Index",0,3,11.250000  ,"06/30/2016", ,
"USDJPYV4Y Index",0,3,11.310000  ,"06/30/2016", ,
"USDJPYV5Y Index",0,3,11.445000  ,"06/30/2016", ,
"USDJPYV7Y Index",0,3,12.225000  ,"06/30/2016", ,
"USDJPYV10Y Index",0,3,14.125000  ,"06/30/2016", ,
"USDJPYV15Y Index",0,3,14.800000  ,"06/30/2016", ,
"USDJPYV1M Index",0,3,13.597500  ,"06/30/2016", ,
"USDJPYV3M Index",0,3,12.402500  ,"06/30/2016", ,
"USDJPYV6M Index",0,3,11.945000  ,"06/30/2016", ,
"USDJPYV9M Index",0,3,11.547500  ,"06/30/2016", ,
"EUJYV1M Index",0,3,14.432500  ,"06/30/2016", ,
"EUJYV3M Index",0,3,13.352500  ,"06/30/2016", ,
"EUJYV6M Index",0,3,13.075000  ,"06/30/2016", ,
"EUJYV9M Index",0,3,12.827500  ,"06/30/2016", ,
"EURJPYV1Y Index",0,3,12.680000  ,"06/30/2016", ,
"EURJPYV2Y Index",0,3,12.655000  ,"06/30/2016", ,
"EURJPYV5Y Index",0,3,13.020000  ,"06/30/2016", ,
"EURJPYV10Y Index",0,3,14.760000  ,"06/30/2016", ,
"BPJYV1M Index",0,3,20.770000  ,"06/30/2016", ,
"BPJYV3M Index",0,3,18.627500  ,"06/30/2016", ,
"BPJYV6M Index",0,3,17.232500  ,"06/30/2016", ,
"BPJYV9M Index",0,3,16.430000  ,"06/30/2016", ,
"GBPJPYV1Y Index",0,3,15.940000  ,"06/30/2016", ,
"GBPJPYV2Y Index",0,3,15.965000  ,"06/30/2016", ,
"GBPJPYV5Y Index",0,3,16.160000  ,"06/30/2016", ,
