"SECURITIES","ERROR CODE","NUM FLDS","TODAY_DT","PX_CLEAN_MID","PX_DIRTY_MID","PX_LAST","CPN","RISK_MID","CNVX_MID","YLD_CNV_MID","MATURITY","NXT_CPN_DT","FIRST_CPN_DT","INT_ACC_DT","PENULTIMATE_CPN_DT"
"912810QW1 Govt",0,13,"06/30/2016",115.828125  ,116.211277  ,115.859375  ,3.000000  ,"N.S.","N.S.",2.195  ,"05/15/2042","11/15/2016","11/15/2012","05/15/2012","11/15/2041",
"912810QX9 Govt",0,13,"06/30/2016",110.507813  ,111.542840  ,110.531250  ,2.750000  ,"N.S.","N.S.",2.218  ,"08/15/2042","08/15/2016","02/15/2013","08/15/2012","02/15/2042",
"912810QY7 Govt",0,13,"06/30/2016",110.328125  ,110.679348  ,110.359375  ,2.750000  ,"N.S.","N.S.",2.230  ,"11/15/2042","11/15/2016","05/15/2013","11/15/2012","05/15/2042",
"912810QA9 Govt",0,13,"06/30/2016",126.515625  ,127.832933  ,126.546875  ,3.500000  ,"N.S.","N.S.",2.032  ,"02/15/2039","08/15/2016","08/15/2009","02/15/2009","08/15/2038",
"912810QT8 Govt",0,13,"06/30/2016",118.437500  ,118.836617  ,118.453125  ,3.125000  ,"N.S.","N.S.",2.175  ,"11/15/2041","11/15/2016","05/15/2012","11/15/2011","05/15/2041",
"912810QU5 Govt",0,13,"06/30/2016",118.500000  ,119.676168  ,118.531250  ,3.125000  ,"N.S.","N.S.",2.179  ,"02/15/2042","08/15/2016","08/15/2012","02/15/2012","08/15/2041",
"912828ND8 Govt",0,13,"06/30/2016",109.992188  ,110.439198  ,110.015625  ,3.500000  ,"N.S.","N.S.",.870  ,"05/15/2020","11/15/2016","11/15/2010","05/15/2010","11/15/2019",
"912810QC5 Govt",0,13,"06/30/2016",144.929688  ,146.623369  ,144.968750  ,4.500000  ,"N.S.","N.S.",2.050  ,"08/15/2039","08/15/2016","02/15/2010","08/15/2009","02/15/2039",
"912810FF0 Govt",0,13,"06/30/2016",140.976563  ,141.647079  ,141.015625  ,5.250000  ,"N.S.","N.S.",1.589  ,"11/15/2028","11/15/2016","05/15/1999","11/15/1998","05/15/2028",
"912810QW1 Govt",0,13,"06/30/2016",115.828125  ,116.211277  ,115.859375  ,3.000000  ,"N.S.","N.S.",2.195  ,"05/15/2042","11/15/2016","11/15/2012","05/15/2012","11/15/2041",
"912810QX9 Govt",0,13,"06/30/2016",110.507813  ,111.542840  ,110.531250  ,2.750000  ,"N.S.","N.S.",2.218  ,"08/15/2042","08/15/2016","02/15/2013","08/15/2012","02/15/2042",
"912810QY7 Govt",0,13,"06/30/2016",110.328125  ,110.679348  ,110.359375  ,2.750000  ,"N.S.","N.S.",2.230  ,"11/15/2042","11/15/2016","05/15/2013","11/15/2012","05/15/2042",
"912810QZ4 Govt",0,13,"06/30/2016",118.218750  ,119.394918  ,118.250000  ,3.125000  ,"N.S.","N.S.",2.215  ,"02/15/2043","08/15/2016","08/15/2013","02/15/2013","08/15/2042",
"912810RB6 Govt",0,13,"06/30/2016",112.773438  ,113.140625  ,112.796875  ,2.875000  ,"N.S.","N.S.",2.240  ,"05/15/2043","11/15/2016","11/15/2013","05/15/2013","11/15/2042",
"912828UA6 Govt",0,13,"06/30/2016",100.099609  ,100.152547  ,100.109375  ,.625000  ,"N.S.","N.S.",.554  ,"11/30/2017","11/30/2016","05/31/2013","11/30/2012","05/31/2017",
"912810RC4 Govt",0,13,"06/30/2016",129.382813  ,130.747167  ,129.406250  ,3.625000  ,"N.S.","N.S.",2.184  ,"08/15/2043","08/15/2016","02/15/2014","08/15/2013","02/15/2043",
"912810RD2 Govt",0,13,"06/30/2016",132.312500  ,132.791440  ,132.343750  ,3.750000  ,"N.S.","N.S.",2.177  ,"11/15/2043","11/15/2016","05/15/2014","11/15/2013","05/15/2043",
"912810RE0 Govt",0,13,"06/30/2016",129.289063  ,130.653417  ,129.312500  ,3.625000  ,"N.S.","N.S.",2.204  ,"02/15/2044","08/15/2016","08/15/2014","02/15/2014","08/15/2043",
"912828N30 Govt",0,13,"06/30/2016",105.523438  ,105.529212  ,105.531250  ,2.125000  ,"N.S.","N.S.",1.238  ,"12/31/2022","12/31/2016","06/30/2016","12/31/2015","06/30/2022",
"912810FT0 Govt",0,13,"06/30/2016",144.320313  ,146.013994  ,144.343750  ,4.500000  ,"N.S.","N.S.",1.807  ,"02/15/2036","08/15/2016","08/15/2006","02/15/2006","08/15/2035",
"912810QS0 Govt",0,13,"06/30/2016",130.820313  ,132.231714  ,130.843750  ,3.750000  ,"N.S.","N.S.",2.155  ,"08/15/2041","08/15/2016","02/15/2012","08/15/2011","02/15/2041",
"912828J68 Govt",0,13,"06/30/2016",100.716797  ,101.010275  ,100.726563  ,1.000000  ,"N.S.","N.S.",.577  ,"03/15/2018","09/15/2016","09/15/2015","03/15/2015","09/15/2017",
"912828L32 Govt",0,13,"06/30/2016",101.898438  ,102.358016  ,101.906250  ,1.375000  ,"N.S.","N.S.",.909  ,"08/31/2020","08/31/2016","02/29/2016","08/31/2015","02/29/2020",
"912828N30 Govt",0,13,"06/30/2016",105.523438  ,105.529212  ,105.531250  ,2.125000  ,"N.S.","N.S.",1.238  ,"12/31/2022","12/31/2016","06/30/2016","12/31/2015","06/30/2022",
"912810FT0 Govt",0,13,"06/30/2016",144.320313  ,146.013994  ,144.343750  ,4.500000  ,"N.S.","N.S.",1.807  ,"02/15/2036","08/15/2016","08/15/2006","02/15/2006","08/15/2035",
"912810QS0 Govt",0,13,"06/30/2016",130.820313  ,132.231714  ,130.843750  ,3.750000  ,"N.S.","N.S.",2.155  ,"08/15/2041","08/15/2016","02/15/2012","08/15/2011","02/15/2041",
"912828J68 Govt",0,13,"06/30/2016",100.716797  ,101.010275  ,100.726563  ,1.000000  ,"N.S.","N.S.",.577  ,"03/15/2018","09/15/2016","09/15/2015","03/15/2015","09/15/2017",
"912828L32 Govt",0,13,"06/30/2016",101.898438  ,102.358016  ,101.906250  ,1.375000  ,"N.S.","N.S.",.909  ,"08/31/2020","08/31/2016","02/29/2016","08/31/2015","02/29/2020",
