"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","TODAY_DT"
"USSP1 Curncy",0,2,23.950000  ,"06/30/2016",
"USSP2 Curncy",0,2,14.810000  ,"06/30/2016",
"USSP3 Curncy",0,2,11.500000  ,"06/30/2016",
"USSP4 Curncy",0,2,4.500000  ,"06/30/2016",
"USSP5 Curncy",0,2,-2.000000  ,"06/30/2016",
"USSP6 Curncy",0,2,-6.630000  ,"06/30/2016",
"USSP7 Curncy",0,2,-12.500000  ,"06/30/2016",
"USSP8 Curncy",0,2,-11.130000  ,"06/30/2016",
"USSP9 Curncy",0,2,-10.500000  ,"06/30/2016",
"USSP10 Curncy",0,2,-10.690000  ,"06/30/2016",
"USSP11 Curncy",0,2,-4.820000  ,"06/30/2016",
"USSP12 Curncy",0,2,.690000  ,"06/30/2016",
"USSP13 Curncy",0,2,.000000  ,"06/30/2016",
"USSP14 Curncy",0,2,.000000  ,"06/30/2016",
"USSP15 Curncy",0,2,-7.500000  ,"06/30/2016",
"USSP20 Curncy",0,2,-15.200000  ,"06/30/2016",
"USSP25 Curncy",0,2,-29.000000  ,"06/30/2016",
"USSP30 Curncy",0,2,-45.750000  ,"06/30/2016",
"USSOF Curncy",0,2,.369000  ,"06/30/2016",
