"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","TODAY_DT"
"USSV0F1 Curncy",0,2,63.080000  ,"06/30/2016",
"USSV011 Curncy",0,2,70.150000  ,"06/30/2016",
"USSV021 Curncy",0,2,78.010000  ,"06/30/2016",
"USSV031 Curncy",0,2,76.520000  ,"06/30/2016",
"USSV051 Curncy",0,2,64.220000  ,"06/30/2016",
"USSV101 Curncy",0,2,42.710000  ,"06/30/2016",
"USSV151 Curncy",0,2,34.810000  ,"06/30/2016",
"USSV201 Curncy",0,2,32.360000  ,"06/30/2016",
"USSV251 Curncy",0,2,30.890000  ,"06/30/2016",
"USSV301 Curncy",0,2,31.460000  ,"06/30/2016",
"USSV0F2 Curncy",0,2,68.400000  ,"06/30/2016",
"USSV012 Curncy",0,2,76.200000  ,"06/30/2016",
"USSV022 Curncy",0,2,78.750000  ,"06/30/2016",
"USSV032 Curncy",0,2,70.310000  ,"06/30/2016",
"USSV052 Curncy",0,2,59.730000  ,"06/30/2016",
"USSV102 Curncy",0,2,41.350000  ,"06/30/2016",
"USSV152 Curncy",0,2,33.960000  ,"06/30/2016",
"USSV202 Curncy",0,2,31.880000  ,"06/30/2016",
"USSV252 Curncy",0,2,30.670000  ,"06/30/2016",
"USSV302 Curncy",0,2,31.470000  ,"06/30/2016",
"USSV0F3 Curncy",0,2,73.750000  ,"06/30/2016",
"USSV013 Curncy",0,2,76.200000  ,"06/30/2016",
"USSV023 Curncy",0,2,70.580000  ,"06/30/2016",
"USSV033 Curncy",0,2,65.100000  ,"06/30/2016",
"USSV053 Curncy",0,2,57.180000  ,"06/30/2016",
"USSV103 Curncy",0,2,39.370000  ,"06/30/2016",
"USSV153 Curncy",0,2,33.160000  ,"06/30/2016",
"USSV203 Curncy",0,2,31.410000  ,"06/30/2016",
"USSV253 Curncy",0,2,30.470000  ,"06/30/2016",
"USSV303 Curncy",0,2,31.430000  ,"06/30/2016",
"USSV0F5 Curncy",0,2,73.630000  ,"06/30/2016",
"USSV015 Curncy",0,2,71.280000  ,"06/30/2016",
"USSV025 Curncy",0,2,58.160000  ,"06/30/2016",
"USSV035 Curncy",0,2,57.880000  ,"06/30/2016",
"USSV055 Curncy",0,2,52.000000  ,"06/30/2016",
"USSV105 Curncy",0,2,36.180000  ,"06/30/2016",
"USSV155 Curncy",0,2,31.580000  ,"06/30/2016",
"USSV205 Curncy",0,2,30.460000  ,"06/30/2016",
"USSV255 Curncy",0,2,30.000000  ,"06/30/2016",
"USSV305 Curncy",0,2,31.350000  ,"06/30/2016",
"USSV017 Curncy",0,2,64.990000  ,"06/30/2016",
"USSV107 Curncy",0,2,36.620000  ,"06/30/2016",
"USSV0F10 Curncy",0,2,56.300000  ,"06/30/2016",
"USSV0110 Curncy",0,2,54.600000  ,"06/30/2016",
"USSV0210 Curncy",0,2,52.330000  ,"06/30/2016",
"USSV0310 Curncy",0,2,49.750000  ,"06/30/2016",
"USSV0510 Curncy",0,2,46.450000  ,"06/30/2016",
"USSV1010 Curncy",0,2,38.250000  ,"06/30/2016",
"USSV1510 Curncy",0,2,32.390000  ,"06/30/2016",
"USSV2010 Curncy",0,2,30.330000  ,"06/30/2016",
"USSV2510 Curncy",0,2,30.330000  ,"06/30/2016",
"USSV3010 Curncy",0,2,30.480000  ,"06/30/2016",
"USSV0F15 Curncy",0,2,47.750000  ,"06/30/2016",
"USSV0115 Curncy",0,2,47.230000  ,"06/30/2016",
"USSV0215 Curncy",0,2,45.760000  ,"06/30/2016",
"USSV0315 Curncy",0,2,44.240000  ,"06/30/2016",
"USSV0515 Curncy",0,2,41.740000  ,"06/30/2016",
"USSV1015 Curncy",0,2,34.770000  ,"06/30/2016",
"USSV1515 Curncy",0,2,30.390000  ,"06/30/2016",
"USSV2015 Curncy",0,2,28.910000  ,"06/30/2016",
"USSV2515 Curncy",0,2,29.050000  ,"06/30/2016",
"USSV3015 Curncy",0,2,30.330000  ,"06/30/2016",
"USSV0F20 Curncy",0,2,44.430000  ,"06/30/2016",
"USSV0120 Curncy",0,2,43.590000  ,"06/30/2016",
"USSV0220 Curncy",0,2,42.150000  ,"06/30/2016",
"USSV0320 Curncy",0,2,40.900000  ,"06/30/2016",
"USSV0520 Curncy",0,2,39.040000  ,"06/30/2016",
"USSV1020 Curncy",0,2,32.160000  ,"06/30/2016",
"USSV1520 Curncy",0,2,28.590000  ,"06/30/2016",
"USSV2020 Curncy",0,2,27.080000  ,"06/30/2016",
"USSV2520 Curncy",0,2,28.280000  ,"06/30/2016",
"USSV3020 Curncy",0,2,29.590000  ,"06/30/2016",
"USSV0F25 Curncy",0,2,42.420000  ,"06/30/2016",
"USSV0125 Curncy",0,2,41.480000  ,"06/30/2016",
"USSV0225 Curncy",0,2,40.100000  ,"06/30/2016",
"USSV0325 Curncy",0,2,39.270000  ,"06/30/2016",
"USSV0525 Curncy",0,2,37.920000  ,"06/30/2016",
"USSV1025 Curncy",0,2,31.470000  ,"06/30/2016",
"USSV1525 Curncy",0,2,27.850000  ,"06/30/2016",
"USSV2025 Curncy",0,2,26.700000  ,"06/30/2016",
"USSV2525 Curncy",0,2,27.960000  ,"06/30/2016",
"USSV3025 Curncy",0,2,29.220000  ,"06/30/2016",
"USSV0F30 Curncy",0,2,41.130000  ,"06/30/2016",
"USSV0130 Curncy",0,2,40.040000  ,"06/30/2016",
"USSV0230 Curncy",0,2,38.630000  ,"06/30/2016",
"USSV0330 Curncy",0,2,38.100000  ,"06/30/2016",
"USSV0530 Curncy",0,2,37.190000  ,"06/30/2016",
"USSV1030 Curncy",0,2,30.600000  ,"06/30/2016",
"USSV1530 Curncy",0,2,27.370000  ,"06/30/2016",
"USSV2030 Curncy",0,2,26.060000  ,"06/30/2016",
"USSV2530 Curncy",0,2,27.440000  ,"06/30/2016",
"USSV3030 Curncy",0,2,28.730000  ,"06/30/2016",
"USRD0A01 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A02 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A03 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A04 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A05 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A07 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A10 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A20 Curncy",0,2,"N.A.","06/30/2016",
"USRD0A30 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C01 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C02 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C03 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C04 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C05 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C07 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C10 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C20 Curncy",0,2,"N.A.","06/30/2016",
"USRD0C30 Curncy",0,2,60.752000  ,"06/30/2016",
"USRD0F01 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F02 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F03 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F04 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F05 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F07 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F10 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F20 Curncy",0,2,"N.A.","06/30/2016",
"USRD0F30 Curncy",0,2,"N.A.","06/30/2016",
"USRD0101 Curncy",0,2,"N.A.","06/30/2016",
"USRD0102 Curncy",0,2,"N.A.","06/30/2016",
"USRD0103 Curncy",0,2,"N.A.","06/30/2016",
"USRD0104 Curncy",0,2,"N.A.","06/30/2016",
"USRD0105 Curncy",0,2,"N.A.","06/30/2016",
"USRD0107 Curncy",0,2,"N.A.","06/30/2016",
"USRD0110 Curncy",0,2,"N.A.","06/30/2016",
"USRD0120 Curncy",0,2,63.607000  ,"06/30/2016",
"USRD0130 Curncy",0,2,60.732000  ,"06/30/2016",
"USRD0201 Curncy",0,2,"N.A.","06/30/2016",
"USRD0202 Curncy",0,2,"N.A.","06/30/2016",
"USRD0203 Curncy",0,2,"N.A.","06/30/2016",
"USRD0204 Curncy",0,2,"N.A.","06/30/2016",
"USRD0205 Curncy",0,2,"N.A.","06/30/2016",
"USRD0207 Curncy",0,2,"N.A.","06/30/2016",
"USRD0210 Curncy",0,2,"N.A.","06/30/2016",
"USRD0220 Curncy",0,2,"N.A.","06/30/2016",
"USRD0230 Curncy",0,2,"N.A.","06/30/2016",
"USRD0302 Curncy",0,2,"N.A.","06/30/2016",
"USRD0303 Curncy",0,2,"N.A.","06/30/2016",
"USRD0304 Curncy",0,2,"N.A.","06/30/2016",
"USRD0305 Curncy",0,2,"N.A.","06/30/2016",
"USRD0307 Curncy",0,2,"N.A.","06/30/2016",
"USRD0310 Curncy",0,2,"N.A.","06/30/2016",
"USRD0320 Curncy",0,2,"N.A.","06/30/2016",
"USRD0330 Curncy",0,2,"N.A.","06/30/2016",
"USRD0402 Curncy",0,2,"N.A.","06/30/2016",
"USRD0403 Curncy",0,2,"N.A.","06/30/2016",
"USRD0404 Curncy",0,2,"N.A.","06/30/2016",
"USRD0405 Curncy",0,2,"N.A.","06/30/2016",
"USRD0407 Curncy",0,2,"N.A.","06/30/2016",
"USRD0410 Curncy",0,2,"N.A.","06/30/2016",
"USRD0420 Curncy",0,2,"N.A.","06/30/2016",
"USRD0430 Curncy",0,2,"N.A.","06/30/2016",
"USRD0501 Curncy",0,2,"N.A.","06/30/2016",
"USRD0502 Curncy",0,2,54.726000  ,"06/30/2016",
"USRD0503 Curncy",0,2,"N.A.","06/30/2016",
"USRD0504 Curncy",0,2,"N.A.","06/30/2016",
"USRD0505 Curncy",0,2,61.509000  ,"06/30/2016",
"USRD0507 Curncy",0,2,"N.A.","06/30/2016",
"USRD0510 Curncy",0,2,64.778000  ,"06/30/2016",
"USRD0520 Curncy",0,2,70.817000  ,"06/30/2016",
"USRD0530 Curncy",0,2,75.786000  ,"06/30/2016",
"USRD1001 Curncy",0,2,"N.A.","06/30/2016",
"USRD1002 Curncy",0,2,64.079000  ,"06/30/2016",
"USRD1003 Curncy",0,2,"N.A.","06/30/2016",
"USRD1004 Curncy",0,2,"N.A.","06/30/2016",
"USRD1005 Curncy",0,2,61.651000  ,"06/30/2016",
"USRD1007 Curncy",0,2,"N.A.","06/30/2016",
"USRD1010 Curncy",0,2,82.921000  ,"06/30/2016",
"USRD1020 Curncy",0,2,73.907000  ,"06/30/2016",
"USRD1030 Curncy",0,2,61.268000  ,"06/30/2016",
"USRD1501 Curncy",0,2,"N.A.","06/30/2016",
"USRD2001 Curncy",0,2,"N.A.","06/30/2016",
"USRD2002 Curncy",0,2,68.977000  ,"06/30/2016",
"USRD2005 Curncy",0,2,4.003000  ,"06/30/2016",
"USRD2010 Curncy",0,2,20.301000  ,"06/30/2016",
"USRD2020 Curncy",0,2,65.998000  ,"06/30/2016",
"USRD2030 Curncy",0,2,29.452000  ,"06/30/2016",
"USRD3001 Curncy",0,2,45.321000  ,"06/30/2016",
"USRD3002 Curncy",0,2,"N.A.","06/30/2016",
"USRD3005 Curncy",0,2,"N.A.","06/30/2016",
"USRD3010 Curncy",0,2,"N.A.","06/30/2016",
"USRD3020 Curncy",0,2,"N.A.","06/30/2016",
"USRD3030 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A01 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A02 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A03 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A04 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A05 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A07 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A10 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A20 Curncy",0,2,"N.A.","06/30/2016",
"USRC0A30 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C01 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C02 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C03 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C04 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C05 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C07 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C10 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C20 Curncy",0,2,"N.A.","06/30/2016",
"USRC0C30 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F01 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F02 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F03 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F04 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F05 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F07 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F10 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F20 Curncy",0,2,"N.A.","06/30/2016",
"USRC0F30 Curncy",0,2,"N.A.","06/30/2016",
"USRC0101 Curncy",0,2,"N.A.","06/30/2016",
"USRC0102 Curncy",0,2,"N.A.","06/30/2016",
"USRC0103 Curncy",0,2,"N.A.","06/30/2016",
"USRC0104 Curncy",0,2,"N.A.","06/30/2016",
"USRC0105 Curncy",0,2,"N.A.","06/30/2016",
"USRC0107 Curncy",0,2,"N.A.","06/30/2016",
"USRC0110 Curncy",0,2,"N.A.","06/30/2016",
"USRC0120 Curncy",0,2,"N.A.","06/30/2016",
"USRC0130 Curncy",0,2,"N.A.","06/30/2016",
"USRC0201 Curncy",0,2,"N.A.","06/30/2016",
"USRC0202 Curncy",0,2,"N.A.","06/30/2016",
"USRC0203 Curncy",0,2,"N.A.","06/30/2016",
"USRC0204 Curncy",0,2,"N.A.","06/30/2016",
"USRC0205 Curncy",0,2,"N.A.","06/30/2016",
"USRC0207 Curncy",0,2,"N.A.","06/30/2016",
"USRC0210 Curncy",0,2,"N.A.","06/30/2016",
"USRC0220 Curncy",0,2,"N.A.","06/30/2016",
"USRC0230 Curncy",0,2,"N.A.","06/30/2016",
"USRC0302 Curncy",0,2,"N.A.","06/30/2016",
"USRC0303 Curncy",0,2,"N.A.","06/30/2016",
"USRC0304 Curncy",0,2,"N.A.","06/30/2016",
"USRC0305 Curncy",0,2,"N.A.","06/30/2016",
"USRC0307 Curncy",0,2,"N.A.","06/30/2016",
"USRC0310 Curncy",0,2,"N.A.","06/30/2016",
"USRC0320 Curncy",0,2,"N.A.","06/30/2016",
"USRC0330 Curncy",0,2,"N.A.","06/30/2016",
"USRC0402 Curncy",0,2,"N.A.","06/30/2016",
"USRC0403 Curncy",0,2,"N.A.","06/30/2016",
"USRC0404 Curncy",0,2,"N.A.","06/30/2016",
"USRC0405 Curncy",0,2,"N.A.","06/30/2016",
"USRC0407 Curncy",0,2,"N.A.","06/30/2016",
"USRC0410 Curncy",0,2,"N.A.","06/30/2016",
"USRC0420 Curncy",0,2,"N.A.","06/30/2016",
"USRC0430 Curncy",0,2,"N.A.","06/30/2016",
"USRC0501 Curncy",0,2,"N.A.","06/30/2016",
"USRC0502 Curncy",0,2,"N.A.","06/30/2016",
"USRC0503 Curncy",0,2,"N.A.","06/30/2016",
"USRC0504 Curncy",0,2,"N.A.","06/30/2016",
"USRC0505 Curncy",0,2,"N.A.","06/30/2016",
"USRC0507 Curncy",0,2,"N.A.","06/30/2016",
"USRC0510 Curncy",0,2,"N.A.","06/30/2016",
"USRC0520 Curncy",0,2,"N.A.","06/30/2016",
"USRC0530 Curncy",0,2,"N.A.","06/30/2016",
"USRC1001 Curncy",0,2,"N.A.","06/30/2016",
"USRC1002 Curncy",0,2,"N.A.","06/30/2016",
"USRC1003 Curncy",0,2,"N.A.","06/30/2016",
"USRC1004 Curncy",0,2,"N.A.","06/30/2016",
"USRC1005 Curncy",0,2,"N.A.","06/30/2016",
"USRC1007 Curncy",0,2,"N.A.","06/30/2016",
"USRC1010 Curncy",0,2,"N.A.","06/30/2016",
"USRC1020 Curncy",0,2,"N.A.","06/30/2016",
"USRC1030 Curncy",0,2,"N.A.","06/30/2016",
"USRC1501 Curncy",0,2,"N.A.","06/30/2016",
"USRC2001 Curncy",0,2,"N.A.","06/30/2016",
"USRC2002 Curncy",0,2,"N.A.","06/30/2016",
"USRC2005 Curncy",0,2,"N.A.","06/30/2016",
"USRC2010 Curncy",0,2,"N.A.","06/30/2016",
"USRC2020 Curncy",0,2,"N.A.","06/30/2016",
"USRC2030 Curncy",0,2,"N.A.","06/30/2016",
"USRC3001 Curncy",0,2,"N.A.","06/30/2016",
"USRC3002 Curncy",0,2,"N.A.","06/30/2016",
"USRC3005 Curncy",0,2,"N.A.","06/30/2016",
"USRC3010 Curncy",0,2,"N.A.","06/30/2016",
"USRC3020 Curncy",0,2,"N.A.","06/30/2016",
"USRC3030 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A01 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A02 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A03 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A04 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A05 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A07 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A10 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A20 Curncy",0,2,"N.A.","06/30/2016",
"USRB0A30 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C01 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C02 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C03 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C04 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C05 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C07 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C10 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C20 Curncy",0,2,"N.A.","06/30/2016",
"USRB0C30 Curncy",0,2,"N.A.","06/30/2016",
"USRB0F01 Curncy",0,2,"N.A.","06/30/2016",
"USRB0F02 Curncy",0,2,"N.A.","06/30/2016",
"USRB0F03 Curncy",0,2,"N.A.","06/30/2016",
"USRB0F04 Curncy",0,2,"N.A.","06/30/2016",
"USRB0F05 Curncy",0,2,"N.A.","06/30/2016",
"USRB0F07 Curncy",0,2,"N.A.","06/30/2016",
