"SECURITIES","ERROR CODE","NUM FLDS","PX_LAST","CPN","ISSUE_DT","MATURITY","TODAY_DT","YLD_YTM_MID"
"USGG3M Index",0,6,.258700  , , , ,"06/30/2016","N.S.",
"USGG6M Index",0,6,.350400  , , , ,"06/30/2016","N.S.",
"USGG12M Index",0,6,.432300  , , , ,"06/30/2016","N.S.",
"USGG2YR Index",0,6,.581700  , , , ,"06/30/2016","N.S.",
"USGG3YR Index",0,6,.693100  , , , ,"06/30/2016","N.S.",
"USGG5YR Index",0,6,.999700  , , , ,"06/30/2016","N.S.",
"USGG7YR Index",0,6,1.279000  , , , ,"06/30/2016","N.S.",
"USGG10YR Index",0,6,1.469700  , , , ,"06/30/2016","N.S.",
"USGG30YR Index",0,6,2.284700  , , , ,"06/30/2016","N.S.",
"GT2 Govt",0,6,100.085938  ,.625000  ,"06/30/2016","06/30/2018","06/30/2016","N.S.",
"GT3 Govt",0,6,100.531250  ,.875000  ,"06/15/2016","06/15/2019","06/30/2016","N.S.",
"GT5 Govt",0,6,100.609375  ,1.125000  ,"06/30/2016","06/30/2021","06/30/2016","N.S.",
"GT7 Govt",0,6,100.640625  ,1.375000  ,"06/30/2016","06/30/2023","06/30/2016","N.S.",
"GT10 Govt",0,6,101.421875  ,1.625000  ,"05/16/2016","05/15/2026","06/30/2016","N.S.",
"GT30 Govt",0,6,104.640625  ,2.500000  ,"05/16/2016","05/15/2046","06/30/2016","N.S.",
"US0001M Index",0,6,.466550  , , , ,"06/30/2016","N.S.",
"US0002M Index",0,6,.542000  , , , ,"06/30/2016","N.S.",
"US0003M Index",0,6,.646100  , , , ,"06/30/2016","N.S.",
"US0006M Index",0,6,.913650  , , , ,"06/30/2016","N.S.",
"US0012M Index",0,6,1.216250  , , , ,"06/30/2016","N.S.",
"USSWAP1 Curncy",0,6,.674300  , , , ,"06/30/2016","N.S.",
"USSWAP2 Curncy",0,6,.734000  , , , ,"06/30/2016","N.S.",
"USSWAP3 Curncy",0,6,.807500  , , , ,"06/30/2016","N.S.",
"USSWAP4 Curncy",0,6,.893000  , , , ,"06/30/2016","N.S.",
"USSWAP5 Curncy",0,6,.981500  , , , ,"06/30/2016","N.S.",
"USSWAP6 Curncy",0,6,1.067000  , , , ,"06/30/2016","N.S.",
"USSWAP7 Curncy",0,6,1.155000  , , , ,"06/30/2016","N.S.",
"USSWAP8 Curncy",0,6,1.228800  , , , ,"06/30/2016","N.S.",
"USSWAP9 Curncy",0,6,1.303100  , , , ,"06/30/2016","N.S.",
"USSWAP10 Curncy",0,6,1.366500  , , , ,"06/30/2016","N.S.",
"USSWAP11 Curncy",0,6,1.420500  , , , ,"06/30/2016","N.S.",
"USSWAP12 Curncy",0,6,1.473400  , , , ,"06/30/2016","N.S.",
"USSWAP13 Curncy",0,6,1.566000  , , , ,"06/30/2016","N.S.",
"USSWAP14 Curncy",0,6,1.603000  , , , ,"06/30/2016","N.S.",
"USSWAP15 Curncy",0,6,1.602900  , , , ,"06/30/2016","N.S.",
"USSWAP20 Curncy",0,6,1.725500  , , , ,"06/30/2016","N.S.",
"USSWAP25 Curncy",0,6,1.794000  , , , ,"06/30/2016","N.S.",
"USSWAP30 Curncy",0,6,1.828000  , , , ,"06/30/2016","N.S.",
"USSWAP40 Curncy",0,6,1.847800  , , , ,"06/30/2016","N.S.",
"USSWAP50 Curncy",0,6,1.830000  , , , ,"06/30/2016","N.S.",
"BVCSUP3M Index",0,6,.694000  , , , ,"06/30/2016","N.S.",
"BVCSUP6M Index",0,6,.733000  , , , ,"06/30/2016","N.S.",
"BVCSUP01 Index",0,6,.802000  , , , ,"06/30/2016","N.S.",
"BVCSUP02 Index",0,6,1.050000  , , , ,"06/30/2016","N.S.",
"BVCSUP03 Index",0,6,1.310000  , , , ,"06/30/2016","N.S.",
"BVCSUP04 Index",0,6,1.537000  , , , ,"06/30/2016","N.S.",
"BVCSUP05 Index",0,6,1.747000  , , , ,"06/30/2016","N.S.",
"BVCSUP07 Index",0,6,2.112000  , , , ,"06/30/2016","N.S.",
"BVCSUP08 Index",0,6,2.259000  , , , ,"06/30/2016","N.S.",
"BVCSUP09 Index",0,6,2.396000  , , , ,"06/30/2016","N.S.",
"BVCSUP10 Index",0,6,2.529000  , , , ,"06/30/2016","N.S.",
"BVCSUP15 Index",0,6,3.082000  , , , ,"06/30/2016","N.S.",
"BVCSUP20 Index",0,6,3.406000  , , , ,"06/30/2016","N.S.",
"BVCSUP25 Index",0,6,3.576000  , , , ,"06/30/2016","N.S.",
"BVCSUP30 Index",0,6,3.606000  , , , ,"06/30/2016","N.S.",
"IGUUAD6M Index",0,6,.985000  , , , ,"06/30/2016","N.S.",
"IGUUAD01 Index",0,6,1.090000  , , , ,"06/30/2016","N.S.",
"IGUUAD02 Index",0,6,1.419000  , , , ,"06/30/2016","N.S.",
"IGUUAD03 Index",0,6,1.707000  , , , ,"06/30/2016","N.S.",
"IGUUAD04 Index",0,6,1.950000  , , , ,"06/30/2016","N.S.",
"IGUUAD05 Index",0,6,2.173000  , , , ,"06/30/2016","N.S.",
"IGUUAD07 Index",0,6,2.543000  , , , ,"06/30/2016","N.S.",
"IGUUAD08 Index",0,6,2.696000  , , , ,"06/30/2016","N.S.",
"IGUUAD09 Index",0,6,2.834000  , , , ,"06/30/2016","N.S.",
"IGUUAD10 Index",0,6,2.972000  , , , ,"06/30/2016","N.S.",
"IGUUAD15 Index",0,6,3.524000  , , , ,"06/30/2016","N.S.",
"IGUUAD20 Index",0,6,3.833000  , , , ,"06/30/2016","N.S.",
"IGUUAD25 Index",0,6,3.938000  , , , ,"06/30/2016","N.S.",
"IGUUAD30 Index",0,6,3.955000  , , , ,"06/30/2016","N.S.",
"IGUUFD3M Index",0,6,.652000  , , , ,"06/30/2016","N.S.",
"IGUUFD6M Index",0,6,.694000  , , , ,"06/30/2016","N.S.",
"IGUUFD01 Index",0,6,.784000  , , , ,"06/30/2016","N.S.",
"IGUUFD02 Index",0,6,1.018000  , , , ,"06/30/2016","N.S.",
"IGUUFD03 Index",0,6,1.251000  , , , ,"06/30/2016","N.S.",
"IGUUFD04 Index",0,6,1.468000  , , , ,"06/30/2016","N.S.",
"IGUUFD05 Index",0,6,1.684000  , , , ,"06/30/2016","N.S.",
"IGUUFD07 Index",0,6,2.072000  , , , ,"06/30/2016","N.S.",
"IGUUFD08 Index",0,6,2.233000  , , , ,"06/30/2016","N.S.",
"IGUUFD09 Index",0,6,2.377000  , , , ,"06/30/2016","N.S.",
"IGUUFD10 Index",0,6,2.513000  , , , ,"06/30/2016","N.S.",
"IGUUFD15 Index",0,6,3.080000  , , , ,"06/30/2016","N.S.",
"IGUUFD20 Index",0,6,3.459000  , , , ,"06/30/2016","N.S.",
"IGUUFD25 Index",0,6,3.645000  , , , ,"06/30/2016","N.S.",
"IGUUFA3M Index",0,6,.915000  , , , ,"06/30/2016","N.S.",
"IGUUFA6M Index",0,6,.992000  , , , ,"06/30/2016","N.S.",
"IGUUFA01 Index",0,6,1.140000  , , , ,"06/30/2016","N.S.",
"IGUUFA02 Index",0,6,1.458000  , , , ,"06/30/2016","N.S.",
"IGUUFA03 Index",0,6,1.719000  , , , ,"06/30/2016","N.S.",
"IGUUFA04 Index",0,6,1.932000  , , , ,"06/30/2016","N.S.",
"IGUUFA05 Index",0,6,2.134000  , , , ,"06/30/2016","N.S.",
"IGUUFA07 Index",0,6,2.501000  , , , ,"06/30/2016","N.S.",
"IGUUFA08 Index",0,6,2.654000  , , , ,"06/30/2016","N.S.",
"IGUUFA09 Index",0,6,2.796000  , , , ,"06/30/2016","N.S.",
"IGUUFA10 Index",0,6,2.939000  , , , ,"06/30/2016","N.S.",
"IGUUFA15 Index",0,6,3.553000  , , , ,"06/30/2016","N.S.",
"IGUUFA20 Index",0,6,3.899000  , , , ,"06/30/2016","N.S.",
"IGUUFA25 Index",0,6,4.012000  , , , ,"06/30/2016","N.S.",
"IGUUFA30 Index",0,6,4.033000  , , , ,"06/30/2016","N.S.",
"IGUUFD30 Index",0,6,3.723000  , , , ,"06/30/2016","N.S.",
"USSW1 CMN3 Curncy",0,6,.668500  , , , ,"06/30/2016","N.S.",
"USSW2 CMN3 Curncy",0,6,.739300  , , , ,"06/30/2016","N.S.",
"USSW3 CMN3 Curncy",0,6,.814800  , , , ,"06/30/2016","N.S.",
"USSW4 CMN3 Curncy",0,6,.900600  , , , ,"06/30/2016","N.S.",
"USSW5 CMN3 Curncy",0,6,.991400  , , , ,"06/30/2016","N.S.",
"USSW6 CMN3 Curncy",0,6,1.081900  , , , ,"06/30/2016","N.S.",
"USSW7 CMN3 Curncy",0,6,1.167000  , , , ,"06/30/2016","N.S.",
"USSW8 CMN3 Curncy",0,6,1.249000  , , , ,"06/30/2016","N.S.",
"USSW9 CMN3 Curncy",0,6,1.315400  , , , ,"06/30/2016","N.S.",
"USSW10 CMN3 Curncy",0,6,1.383000  , , , ,"06/30/2016","N.S.",
"USSW11 CMN3 Curncy",0,6,1.440750  , , , ,"06/30/2016","N.S.",
"USSW12 CMN3 Curncy",0,6,1.498500  , , , ,"06/30/2016","N.S.",
"USSW15 CMN3 Curncy",0,6,1.619000  , , , ,"06/30/2016","N.S.",
"USSW20 CMN3 Curncy",0,6,1.751000  , , , ,"06/30/2016","N.S.",
"USSW25 CMN3 Curncy",0,6,1.813900  , , , ,"06/30/2016","N.S.",
"USSW30 CMN3 Curncy",0,6,1.854000  , , , ,"06/30/2016","N.S.",
"USSW40 CMN3 Curncy",0,6,1.872200  , , , ,"06/30/2016","N.S.",
"USSW50 CMN3 Curncy",0,6,1.853000  , , , ,"06/30/2016","N.S.",
"USSO1 Curncy",0,6,.383000  , , , ,"06/30/2016","N.S.",
"USSO2 Curncy",0,6,.422000  , , , ,"06/30/2016","N.S.",
"USSO3 Curncy",0,6,.479000  , , , ,"06/30/2016","N.S.",
"USSO4 Curncy",0,6,.554000  , , , ,"06/30/2016","N.S.",
"USSO5 Curncy",0,6,.633000  , , , ,"06/30/2016","N.S.",
"USSO6 Curncy",0,6,.717000  , , , ,"06/30/2016","N.S.",
"USSO7 Curncy",0,6,.796000  , , , ,"06/30/2016","N.S.",
"USSO8 Curncy",0,6,.869000  , , , ,"06/30/2016","N.S.",
"USSO9 Curncy",0,6,.937000  , , , ,"06/30/2016","N.S.",
"USSO10 Curncy",0,6,.999000  , , , ,"06/30/2016","N.S.",
"USSO15 Curncy",0,6,1.228000  , , , ,"06/30/2016","N.S.",
"USSO20 Curncy",0,6,1.351000  , , , ,"06/30/2016","N.S.",
"USSO25 Curncy",0,6,1.415000  , , , ,"06/30/2016","N.S.",
"USSO30 Curncy",0,6,1.451000  , , , ,"06/30/2016","N.S.",
"USSO40 Curncy",0,6,1.466000  , , , ,"06/30/2016","N.S.",
