CRDA.L,808.5, 4:35PM,01/13/2010,-11.5,819,820,806,4041,Dynamic EU
MUT.L,524.5, 4:35PM,01/13/2010,-11.5,530,532.5,524.5,1481,Dynamic EU
SMT.L,540, 4:35PM,01/13/2010,-11.5,547,552.5,540,843,Dynamic EU
GOG.L,1359, 4:35PM,01/13/2010,-11,1355,1365,1355,341,Dynamic EU
HL.L,295, 4:35PM,01/13/2010,-11,310,310,295,603,Dynamic EU
JAM.L,716, 4:35PM,01/13/2010,-11,721,721,711,184,Dynamic EU
MRC.L,895, 4:35PM,01/13/2010,-11,906,909.5,890,477,Dynamic EU
XTA.L,1173, 4:35PM,01/13/2010,-11,1173.5,1198.5,1153,129427,Dynamic EU
BWNG.L,246.7, 4:35PM,01/13/2010,-10.8,252,254.1,244.7,9460,Dynamic EU
HSBA.L,717.7, 4:35PM,01/13/2010,-10.7,719.4,724.5,714.1,233322,Dynamic EU
INF.L,313.6, 4:35PM,01/13/2010,-10.4,325,327.9,312,12404,Dynamic EU
BHMG.L,1795, 4:35PM,01/13/2010,-10,1791,1805,1791,163,Dynamic EU
CHG.L,2889, 4:35PM,01/13/2010,-10,2936,2950,2875,963,Dynamic EU
GRG.L,405, 4:37PM,01/13/2010,-10,415,417,402.8,9411,Dynamic EU
IAP.L,429.7, 4:35PM,01/13/2010,-10,436.7,438.2,427.4,32905,Dynamic EU
ITRK.L,1214, 4:35PM,01/13/2010,-10,1224,1225,1195,3673,Dynamic EU
HTG.L,574, 4:35PM,01/13/2010,-9.5,585,586,571,2087,Dynamic EU
JFF.L,695.5, 4:35PM,01/13/2010,-9.5,706.5,707.5,695.5,83,Dynamic EU
JLT.L,467, 4:35PM,01/13/2010,-9.3,476.9,477.6,461.2,5503,Dynamic EU
STHR.L,303, 4:35PM,01/13/2010,-9.2,309.1,310.1,299.4,1421,Dynamic EU
AVV.L,1043, 4:35PM,01/13/2010,-9,1042,1055,1034,1195,Dynamic EU
KAZ.L,1426, 4:35PM,01/13/2010,-9,1421,1450,1408,21469,Dynamic EU
VCT.L,831, 4:35PM,01/13/2010,-9,842,851,830.5,313,Dynamic EU
MRS.L,311, 4:35PM,01/13/2010,-8.6,322.1,325,302.5,64,Dynamic EU
ENRC.L,982.5, 4:35PM,01/13/2010,-8.5,987.5,1021,972.5,18260,Dynamic EU
SSL.L,760, 4:35PM,01/13/2010,-8.5,772,772.5,756,4920,Dynamic EU
DLN.L,1325, 4:35PM,01/13/2010,-8,1325,1340,1309,1742,Dynamic EU
RIO.L,3538.5, 4:35PM,01/13/2010,-19,3528.5,3618,3502,50920,Dynamic EU
DNX.L,1254, 4:35PM,01/13/2010,-18,1254,1273,1250,4047,Dynamic EU
LSE.L,680, 4:35PM,01/13/2010,-16,692,694,678,8919,Dynamic EU
