LII.L,492.6, 4:35PM,01/13/2010,1.3,490.8,495.1,489.5,16297,Gold select
PVCS.L,68.85, 4:35PM,01/13/2010,1.4,68,69.95,67.1,9864,Gold select
CHTR.L,762.5, 4:35PM,01/13/2010,1.5,762.5,771.5,756.5,2270,Gold select
HIK.L,520.5, 4:35PM,01/13/2010,1.5,514.5,522,510,2467,Gold select
IMG.L,253.4, 4:35PM,01/13/2010,1.5,252.8,254.5,247.6,3698,Gold select
LRD.L,138, 4:35PM,01/13/2010,1.5,137,138.1,135.6,4140,Gold select
BOY.L,179, 4:37PM,01/13/2010,1.7,175.1,182,175.1,6150,Gold select
DLAR.L,981, 4:35PM,01/13/2010,2,979,990,977.5,1216,Gold select
ULVR.L,1931, 4:35PM,01/13/2010,2,1915,1943,1912,22972,Gold select
VTG.L,519, 4:35PM,01/13/2010,2,515,521.5,515,7195,Gold select
CNA.L,281.9, 4:35PM,01/13/2010,2.1,279.5,284.8,279.4,145996,Gold select
FENR.L,188, 4:35PM,01/13/2010,2.1,191.3,192.8,182.5,16195,Gold select
CPW.L,195.2, 4:35PM,01/13/2010,2.2,192.9,199.6,192,34793,Gold select
HFD.L,422.2, 4:35PM,01/13/2010,2.2,421.7,428.6,417.8,6026,Gold select
DVSG.L,417.92, 4:36PM,01/13/2010,2.22,410.4,419.2,410.4,2664,Gold select
MYI.L,820.37, 4:36PM,01/13/2010,2.37,814,820,798.5,1639,Gold select
BWY.L,804, 4:35PM,01/13/2010,2.5,801.5,812.5,798,3337,Gold select
PSON.L,883.5, 4:35PM,01/13/2010,2.5,879.5,886,876.5,26121,Gold select
GFRM.L,90.1, 4:35PM,01/13/2010,2.55,86.75,90.75,86.5,26389,Gold select
BT-A.L,146.9, 4:35PM,01/13/2010,2.6,144.9,148.2,144.7,335338,Gold select
MLC.L,381.6, 4:35PM,01/13/2010,2.6,380.5,383,377.7,991,Gold select
MRW.L,296, 4:35PM,01/13/2010,2.6,294.8,297.2,294.1,186086,Gold select
MAB.L,275.5, 4:35PM,01/13/2010,2.7,278.7,278.7,270,9223,Gold select
BVIC.L,409.8, 4:35PM,01/13/2010,2.8,408.1,412.3,405.8,5901,Gold select
CCL.L,2180, 4:35PM,01/13/2010,3,2164,2185,2151,6108,Gold select
