RRS.L,5035, 4:35PM,01/13/2010,-145,5070,5200,5010,3106,Titan AE
DJAN.L,2800, 4:35PM,01/13/2010,-61,2861,2939,2800,24,Titan AE
ELTA.L,1218, 4:35PM,01/13/2010,-61,1271,1277,1218,105,Titan AE
LMI.L,2027, 4:35PM,01/13/2010,-42,2066,2067,2007,8286,Titan AE
FDSA.L,1237, 4:35PM,01/13/2010,-38,1251,1254,1230,91,Titan AE
RDSA.L,1862.5, 4:35PM,01/13/2010,-33.5,1878,1878,1852,50052,Titan AE
FPT.L,1100, 4:35PM,01/13/2010,-30,1122,1134,1100,447,Titan AE
POG.L,1081, 4:35PM,01/13/2010,-29,1100,1114,1070,5009,Titan AE
RDSB.L,1798.5, 4:35PM,01/13/2010,-25.5,1801.5,1808.5,1786,66065,Titan AE
NXT.L,2025, 4:35PM,01/13/2010,-25,2040,2050,2025,12007,Titan AE
VED.L,2720, 4:35PM,01/13/2010,-25,2738,2800,2692,25296,Titan AE
PFG.L,906.5, 4:35PM,01/13/2010,-23.5,924.5,936.5,901,3877,Titan AE
MTC.L,655.5, 4:35PM,01/13/2010,-22.5,669.5,683.5,655,833,Titan AE
AAL.L,2751, 4:35PM,01/13/2010,-20,2746,2797.5,2726,47688,Titan AE
PMO.L,1190, 4:35PM,01/13/2010,-20,1200,1219,1182,5497,Titan AE
RIO.L,3538.5, 4:35PM,01/13/2010,-19,3528.5,3618,3502,50920,Titan AE
DNX.L,1254, 4:35PM,01/13/2010,-18,1254,1273,1250,4047,Titan AE
LSE.L,680, 4:35PM,01/13/2010,-16,692,694,678,8919,Titan AE
HOC.L,335, 4:35PM,01/13/2010,-15.7,352,352,334,2391,Titan AE
GSK.L,1275, 4:35PM,01/13/2010,-15,1290,1299,1270.5,99433,Titan AE
RAT.L,845, 4:35PM,01/13/2010,-15,857,861,841,86,Titan AE
WSM.L,520, 4:35PM,01/13/2010,-15,535,537.5,512.5,5078,Titan AE
RCP.L,1029, 4:35PM,01/13/2010,-14,1030,1041,1027,305,Titan AE
AMEC.L,779, 4:35PM,01/13/2010,-13.5,786,792,766,19836,Titan AE
BLT.L,2042.5, 4:35PM,01/13/2010,-13.5,2052,2091.5,2026,91920,Titan AE
CLDN.L,1635, 4:35PM,01/13/2010,-13,1638,1660,1635,151,Titan AE
FRES.L,795.5, 4:35PM,01/13/2010,-12.5,801,826.5,792,7232,Titan AE
DPH.L,462, 4:35PM,01/13/2010,-12,478,482,462,510,Titan AE
FSV.L,548, 4:35PM,01/13/2010,-12,555.5,559.5,548,75,Titan AE
KIE.L,1061, 4:35PM,01/13/2010,-12,1079,1082,1048,153,Titan AE
TCY.L,404.5, 4:35PM,01/13/2010,-12,415,417.9,404.5,1061,Titan AE
SMP.L,210, 4:36PM,01/13/2010,5,195.1,212.9,195.1,3875,Titan AE
DMGT.L,449.1, 4:35PM,01/13/2010,5.1,444.8,450.6,443.1,25543,Titan AE
BSY.L,567.5, 4:35PM,01/13/2010,5.5,561.5,569,561,25663,Titan AE
RPS.L,223.4, 4:35PM,01/13/2010,5.6,218,224,218,932,Titan AE
BNZL.L,664.5, 4:35PM,01/13/2010,6,655.5,667,655.5,5058,Titan AE
IMI.L,558, 4:35PM,01/13/2010,6,548,561,545,7532,Titan AE
REX.L,287.2, 4:35PM,01/13/2010,6,281.9,287.2,281,38006,Titan AE
SMIN.L,1011, 4:35PM,01/13/2010,6,1000,1012,994.5,12687,Titan AE
SPX.L,1310, 4:35PM,01/13/2010,6,1305,1316,1300,464,Titan AE
SYR.L,656, 4:35PM,01/13/2010,6,645,661.5,638.5,4703,Titan AE
SAB.L,1785, 4:35PM,01/13/2010,7,1773,1795,1766,25204,Titan AE
EZJ.L,356.3, 4:35PM,01/13/2010,7.1,350.3,359.1,347.5,29639,Titan AE
HSV.L,1738, 4:35PM,01/13/2010,8,1716,1744,1710,439,Titan AE
WTB.L,1377, 4:35PM,01/13/2010,8,1361,1383,1361,4553,Titan AE
MNDI.L,364.9, 4:35PM,01/13/2010,8.2,355.1,364.9,355.1,17475,Titan AE
FLTR.L,196.6, 4:35PM,01/13/2010,8.3,185,199.6,185,2161,Titan AE
BHGG.L,1114, 4:35PM,01/13/2010,10,1101,1114,1096,639,Titan AE
BTSM.L,290, 4:41PM,01/13/2010,11.7,274.4,290.9,274.4,2067,Titan AE
MCRO.L,500, 4:36PM,01/13/2010,11.8,486,502,486,6350,Titan AE
SHI.L,128.6, 4:37PM,01/13/2010,11.8,120.9,129.3,118.2,229616,Titan AE
CBRY.L,789.5, 4:47PM,01/13/2010,12.5,778.5,799.5,776.5,128045,Titan AE
JMAT.L,1618, 4:35PM,01/13/2010,14,1601,1618,1594,5709,Titan AE
CBG.L,726.5, 4:35PM,01/13/2010,15,706,733.5,706,3928,Titan AE
PSN.L,494.3, 4:35PM,01/13/2010,15.6,475.8,495.2,475.8,17381,Titan AE
SDRC.L,1066, 4:35PM,01/13/2010,22,1050,1071,1050,2192,Titan AE
PFC.L,1006, 4:35PM,01/13/2010,23,975,1008,973.5,12284,Titan AE
RB.L,3240, 4:35PM,01/13/2010,24,3207,3249,3207,16950,Titan AE
ADM.L,1163, 4:35PM,01/13/2010,25,1139,1171,1138,4785,Titan AE
AU.L,1539, 4:35PM,01/13/2010,26,1510,1544,1496,8512,Titan AE
SIA.L,1448, 4:35PM,01/13/2010,33,1419,1465,1419,9405,Titan AE
AZN.L,2962, 4:35PM,01/13/2010,33.5,2920,2973,2912,62061,Titan AE
